academic_year,time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,total_type,school_phase,estimated_course_starts_by_pupils,total_schools,total_schools_participating,percentage_schools_participating
202324,2023,October,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Total in academic year,All,2008,234,64,27.4
202324,2023,October,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Total in academic year,All,3528,191,71,37.2
202324,2023,October,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Total in academic year,All,6304,528,191,36.2
202324,2023,October,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Total in academic year,All,648,49,19,38.8
202324,2023,October,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Total in academic year,All,7740,594,218,36.7
202324,2023,October,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Total in academic year,All,2582,103,39,37.9
202324,2023,October,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Total in academic year,All,1838,113,48,42.5
202324,2023,October,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Total in academic year,All,2407,302,88,29.1
202324,2023,October,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Total in academic year,All,2094,62,18,29
202324,2023,October,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Total in academic year,All,853,55,23,41.8
202324,2023,October,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Total in academic year,All,794,46,11,23.9
202324,2023,October,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Total in academic year,All,2153,75,40,53.3
202324,2023,October,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Total in academic year,All,3900,395,122,30.9
202324,2023,October,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Total in academic year,All,610,81,22,27.2
202324,2023,October,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Total in academic year,All,3697,284,86,30.3
202324,2023,October,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Total in academic year,All,621,63,29,46
202324,2023,October,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Total in academic year,All,531,71,20,28.2
